Indonesian,Dutch
Yang,Dat
Dan,En
Ini,Dit
Untuk,Voor
Mereka,Ze
Kita,Wij
Dari,Van
Adalah,Is
Tidak,Niet
Itu,Dat
Akan,Zullen
Dalam,In
Bahwa,Dat
Dengan,Met
Anda,U
Ada,Er is
Saya,Me
Pada,Aan
Kami,Wij
Lebih,Meer
Telah,Is geweest
Seperti,Net zo
Planet,Planeet
Apa,Wat
Satu,Een
Tahun,Jaar
Hal,Ding
Tapi,Maar
Bumi,Aarde
Besar,Groot
Sangat,Heel
Bisa,Kan
Semua,Alle
Mungkin,Kan zijn
Hanya,Enkel en alleen
Orang,Persoon
Memiliki,Hebben
Jika,Als
Sebuah,Een
Beberapa,Sommige
Atau,Of
Banyak,Veel
Dunia,Wereld-
Karena,Omdat
Menjadi,Wordt
Dapat,Kon
Lain,Andere
Benar,Rechtsaf
Oleh,Door
Sebagai,Net zo
Bintang,Ster
Melihat,Kijken
Aku,Ik
Luar,Buiten
Alam,Natuur
Dia,Ochtend-
Tahu,Tofu
Hidup,Leven
Jadi,Zo
Apakah,Wat
Manusia,Mens
Sama,Dezelfde
Sekarang,Nu
Datang,Komen
Harus,Moet
Bagaimana,Hoe
Hari,Dag
Ketika,Wanneer
Sini,Hier
Narator,Verteller
Tempat,De plaats
Salah,Mis
Membuat,Maken
Sendiri,Alleen
Tentang,Over
Semesta,Universum
Sistem,Systeem
Tetapi,Maar
Mana,Waar
Waktu,Tijd
Bulan,Maand
Terjadi,Optreden
Paling,Meest
Menemukan,Vind
Pergi,Gaan
Kehidupan,Leven
Baru,Nieuw
Air,Lucht
Setiap,Elke
Kecil,Klein
Juga,Te
Sesuatu,Iets
Cara,Manier
Baik,Is goed
Bahkan,Zelfs
Sekitar,In de omgeving van
